Range(yd),Drop(in),Mils,MOA
25.00,2.87,-3.19,-10.95
50.00,2.25,-1.25,-4.29
75.00,1.37,-0.51,-1.75
100.00,0.00,-0.00,-0.00
125.00,-1.53,0.34,1.17
150.00,-3.67,0.68,2.34
175.00,-5.88,0.93,3.21
200.00,-8.79,1.22,4.20
225.00,-11.67,1.44,4.95
250.00,-15.36,1.71,5.87
275.00,-18.94,1.91,6.58
300.00,-23.42,2.17,7.46
325.00,-27.69,2.37,8.14
350.00,-32.97,2.62,9.00
375.00,-37.94,2.81,9.66
400.00,-44.04,3.06,10.52
425.00,-49.73,3.25,11.18
450.00,-56.64,3.50,12.02
475.00,-63.05,3.69,12.68
500.00,-70.80,3.93,13.52
525.00,-77.95,4.12,14.18
550.00,-86.54,4.37,15.03
575.00,-94.42,4.56,15.68
600.00,-103.87,4.81,16.53
625.00,-112.51,5.00,17.19
650.00,-122.81,5.25,18.05
675.00,-132.21,5.44,18.71
700.00,-143.40,5.69,19.57
725.00,-153.57,5.88,20.23
750.00,-165.64,6.13,21.09
775.00,-176.59,6.33,21.76
800.00,-189.56,6.58,22.63
825.00,-201.31,6.78,23.31
850.00,-215.19,7.03,24.18
875.00,-227.74,7.23,24.86
900.00,-242.54,7.49,25.74
925.00,-255.90,7.68,26.42
950.00,-271.64,7.94,27.31
975.00,-285.83,8.14,28.00
1000.00,-302.52,8.40,28.89
